RECEIPT OF USER 1234567890:

Product Name: Swiss Cheese, Qty: 1, Price: 10
Product Name: Barbecue Chicken, Qty: 1, Price: 10
Product Name: Gouda Cheese, Qty: 1, Price: 8.5
Product Name: Milk Flavor, Qty: 1, Price: 2.5
Product Name: Schnitzel, Qty: 1, Price: 6.99
Product Name: Activia Drink Yogurt, Qty: 1, Price: 8.5
Product Name: White Wine, Qty: 1, Price: 13.5
Product Name: Fanta, Qty: 1, Price: 2.5
Product Name: Orange, Qty: 1, Price: 3.5
Product Name: Milk, Qty: 1, Price: 8
Product Name: Frozen Yogurt, Qty: 1, Price: 5.9
Product Name: Onigiri Yatai, Qty: 1, Price: 15
Product Name: Coca-Cola, Qty: 1, Price: 2.5
Product Name: Milka Bar, Qty: 1, Price: 8.5
Product Name: Beer, Qty: 1, Price: 5.6
Product Name: Strawberries, Qty: 1, Price: 4
Product Name: Shrimp curry, Qty: 1, Price: 20
Product Name: Apple, Qty: 1, Price: 3.5

TOTAL PRICE: 138.99$
